"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz9.26","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1437,113.2139,20210515,08:14:00,"NPZ9","No-take","npz9.26",90.9,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.26"
"npz9.27","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1164,113.1014,20210515,13:21:00,"NPZ9","No-take","npz9.27",114,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.27"
"npz9.28","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1013,113.0538,20210515,13:57:00,"NPZ9","No-take","npz9.28",132,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.28"
"npz9.29","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1313,113.2089,20210515,08:27:00,"NPZ9","No-take","npz9.29",96.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.29"
"npz9.3","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1312,113.1239,20210515,11:04:00,"NPZ9","No-take","npz9.3",104,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.3"
"npz9.30","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1187,113.1864,20210515,08:43:00,"NPZ9","No-take","npz9.30",90.3,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.30"
"npz9.4","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1163,113.1139,20210515,13:11:00,"NPZ9","No-take","npz9.4",104,"Molly","Y","N","2021-05_Abrolhos_stereo-BRUVs.npz9.4"
"npz9.5","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.151,113.214,20210515,08:09:00,"NPZ9","No-take","npz9.5",87.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.5"
"npz9.7","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1162,113.1964,20210515,08:37:00,"NPZ9","No-take","npz9.7",97.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.7"
"npz9.8","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1261,113.1189,20210515,11:08:00,"NPZ9","No-take","npz9.8",105,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.8"
"npz9.9","Acanthuridae Acanthurus xanthopterus",0,"Acanthuridae","Acanthurus","xanthopterus","2021-05_Abrolhos_stereo-BRUVs",-27.1288,113.1888,20210515,08:48:00,"NPZ9","No-take","npz9.9",82.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.9"
"npz6.10","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.12","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.13","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.13"
"npz6.14","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.14"
"npz6.15","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0588,113.3488,20210512,11:41:00,"NPZ6","No-take","npz6.15",145,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.15"
"npz6.17","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0837,113.3839,20210512,11:03:00,"NPZ6","No-take","npz6.18",94,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.17"
"npz6.18","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.18"
"npz6.2","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0612,113.4339,20210512,09:26:00,"NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.2"
"npz6.20","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.20"
"npz6.21","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0714,113.3992,20210512,10:54:00,"NPZ6","No-take","npz6.22",59.3,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.21"
"npz6.22","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0687,113.4512,20210512,09:16:00,"NPZ6","No-take","npz6.23",45,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.22"
"npz6.24","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.4414,20210512,09:07:00,"NPZ6","No-take","npz6.27",53.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.24"
"npz6.26","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0937,113.4563,20210512,08:43:00,"NPZ6","No-take","npz6.29",33.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.26"
"npz6.27","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0562,113.4464,20210512,09:21:00,"NPZ6","No-take","npz6.30",39,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.27"
"npz6.28","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.1237,113.3663,20210512,14:45:00,"NPZ6","Fished","out6.1",149,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.28"
"npz6.36","Apogonidae Ostorhinchus angustatus",1,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.1062,113.4089,20210512,15:02:00,"NPZ6","Fished","out6.9",66.5,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.36"
"npz6.4","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0814,113.3988,20210512,10:57:00,"NPZ6","No-take","npz6.4",67.5,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.4"
"npz6.5","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0636,113.3935,20210512,10:50:00,"NPZ6","No-take","npz6.5",65.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.5"
"npz6.6","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0837,113.4439,20210512,09:04:00,"NPZ6","No-take","npz6.6",55.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.6"
"npz6.8","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0688,113.3413,20210512,11:45:00,"NPZ6","No-take","npz6.8",154,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.8"
"npz6.9","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.0386,113.3814,20210512,11:28:00,"NPZ6","No-take","npz6.9",77.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.9"
"npz6.BOSS41","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.1137,113.3939,20210512,14:57:00,"NPZ6","Fished","NA",104,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.BOSS41"
"npz6.C01","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.1078,113.3706,20210512,14:39:00,"NPZ6","Fished","NA",138,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.C01"
"npz6.C02","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-28.118,113.385,20210512,14:52:00,"NPZ6","Fished","NA",125,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.C02"
"npz9.1","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.0962,113.0863,20210515,13:43:00,"NPZ9","No-take","npz9.1",116,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.1"
"npz9.10","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1638,113.1565,20210515,10:36:00,"NPZ9","No-take","npz9.10",93.6,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.10"
"npz9.11","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1238,113.1889,20210515,08:46:00,"NPZ9","No-take","npz9.11",85.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.11"
"npz9.12","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1462,113.2039,20210515,08:19:00,"NPZ9","No-take","npz9.12",92.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.12"
"npz9.13","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1113,113.1038,20210515,13:27:00,"NPZ9","No-take","npz9.13",109,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.13"
"npz9.14","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1438,113.1364,20210515,10:56:00,"NPZ9","No-take","npz9.14",101,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.14"
"npz9.16","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1187,113.109,20210515,13:16:00,"NPZ9","No-take","npz9.16",108,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.16"
"npz9.17","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1012,113.0913,20210515,13:37:00,"NPZ9","No-take","npz9.17",114,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.17"
"npz9.18","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1236,113.0664,20210515,14:08:00,"NPZ9","No-take","npz9.18",132,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.18"
"npz9.19","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1539,113.1764,20210515,08:58:00,"NPZ9","No-take","npz9.19",87.1,"Molly","Y","N","2021-05_Abrolhos_stereo-BRUVs.npz9.19"
"npz9.2","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1411,113.1465,20210515,10:52:00,"NPZ9","No-take","npz9.2",92.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.2"
"npz9.21","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1362,113.1014,20210515,11:26:00,"NPZ9","No-take","npz9.21",122,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.21"
"npz9.22","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1537,113.1413,20210515,10:34:00,"NPZ9","No-take","npz9.22",102,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.22"
"npz9.24","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1311,113.1067,20210515,11:14:00,"NPZ9","No-take","npz9.24",117,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.24"
"npz9.25","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1462,113.074,20210515,14:17:00,"NPZ9","No-take","npz9.25",133,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.25"
"npz9.26","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1437,113.2139,20210515,08:14:00,"NPZ9","No-take","npz9.26",90.9,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.26"
"npz9.27","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1164,113.1014,20210515,13:21:00,"NPZ9","No-take","npz9.27",114,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.27"
"npz9.28","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1013,113.0538,20210515,13:57:00,"NPZ9","No-take","npz9.28",132,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.28"
"npz9.29","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1313,113.2089,20210515,08:27:00,"NPZ9","No-take","npz9.29",96.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.29"
"npz9.3","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1312,113.1239,20210515,11:04:00,"NPZ9","No-take","npz9.3",104,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.3"
"npz9.30","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1187,113.1864,20210515,08:43:00,"NPZ9","No-take","npz9.30",90.3,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.30"
"npz9.4","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1163,113.1139,20210515,13:11:00,"NPZ9","No-take","npz9.4",104,"Molly","Y","N","2021-05_Abrolhos_stereo-BRUVs.npz9.4"
"npz9.5","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.151,113.214,20210515,08:09:00,"NPZ9","No-take","npz9.5",87.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.5"
"npz9.7","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1162,113.1964,20210515,08:37:00,"NPZ9","No-take","npz9.7",97.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.7"
"npz9.8","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1261,113.1189,20210515,11:08:00,"NPZ9","No-take","npz9.8",105,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.8"
"npz9.9","Apogonidae Ostorhinchus angustatus",0,"Apogonidae","Ostorhinchus","angustatus","2021-05_Abrolhos_stereo-BRUVs",-27.1288,113.1888,20210515,08:48:00,"NPZ9","No-take","npz9.9",82.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.9"
"npz6.10","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.12","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","N","N","2021-05_Abrolhos_stereo-BRUVs.npz6.12"
"npz6.13","Apogonidae Ostorhinchus spp",2,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.13"
"npz6.14","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0937,113.4213,20210512,08:56:00,"NPZ6","No-take","npz6.14",42.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.14"
"npz6.15","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0588,113.3488,20210512,11:41:00,"NPZ6","No-take","npz6.15",145,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.15"
"npz6.17","Apogonidae Ostorhinchus spp",3,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0837,113.3839,20210512,11:03:00,"NPZ6","No-take","npz6.18",94,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.17"
"npz6.18","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0962,113.4438,20210512,08:48:00,"NPZ6","No-take","npz6.19",42.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.18"
"npz6.2","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0612,113.4339,20210512,09:26:00,"NPZ6","No-take","npz6.2",43.6,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.2"
"npz6.20","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.20"
"npz6.21","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0714,113.3992,20210512,10:54:00,"NPZ6","No-take","npz6.22",59.3,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.21"
"npz6.22","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0687,113.4512,20210512,09:16:00,"NPZ6","No-take","npz6.23",45,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.22"
"npz6.24","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.4414,20210512,09:07:00,"NPZ6","No-take","npz6.27",53.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.24"
"npz6.26","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0937,113.4563,20210512,08:43:00,"NPZ6","No-take","npz6.29",33.7,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.26"
"npz6.27","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0562,113.4464,20210512,09:21:00,"NPZ6","No-take","npz6.30",39,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.27"
"npz6.28","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.1237,113.3663,20210512,14:45:00,"NPZ6","Fished","out6.1",149,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.28"
"npz6.36","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.1062,113.4089,20210512,15:02:00,"NPZ6","Fished","out6.9",66.5,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.36"
"npz6.4","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0814,113.3988,20210512,10:57:00,"NPZ6","No-take","npz6.4",67.5,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.4"
"npz6.5","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0636,113.3935,20210512,10:50:00,"NPZ6","No-take","npz6.5",65.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.5"
"npz6.6","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0837,113.4439,20210512,09:04:00,"NPZ6","No-take","npz6.6",55.1,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.6"
"npz6.8","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0688,113.3413,20210512,11:45:00,"NPZ6","No-take","npz6.8",154,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.8"
"npz6.9","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.0386,113.3814,20210512,11:28:00,"NPZ6","No-take","npz6.9",77.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.9"
"npz6.BOSS41","Apogonidae Ostorhinchus spp",1,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.1137,113.3939,20210512,14:57:00,"NPZ6","Fished","NA",104,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.BOSS41"
"npz6.C01","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.1078,113.3706,20210512,14:39:00,"NPZ6","Fished","NA",138,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.C01"
"npz6.C02","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-28.118,113.385,20210512,14:52:00,"NPZ6","Fished","NA",125,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz6.C02"
"npz9.1","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-27.0962,113.0863,20210515,13:43:00,"NPZ9","No-take","npz9.1",116,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.1"
"npz9.10","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-27.1638,113.1565,20210515,10:36:00,"NPZ9","No-take","npz9.10",93.6,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.10"
"npz9.11","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-27.1238,113.1889,20210515,08:46:00,"NPZ9","No-take","npz9.11",85.8,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.11"
"npz9.12","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-27.1462,113.2039,20210515,08:19:00,"NPZ9","No-take","npz9.12",92.2,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.12"
"npz9.13","Apogonidae Ostorhinchus spp",7,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-27.1113,113.1038,20210515,13:27:00,"NPZ9","No-take","npz9.13",109,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.13"
"npz9.14","Apogonidae Ostorhinchus spp",0,"Apogonidae","Ostorhinchus","spp","2021-05_Abrolhos_stereo-BRUVs",-27.1438,113.1364,20210515,10:56:00,"NPZ9","No-take","npz9.14",101,"Molly","Y","Y","2021-05_Abrolhos_stereo-BRUVs.npz9.14"
